problem_id,response,first_response_time,after_ai_time
1,1,19.770846843719482,
3,1,29.975473165512085,
4,0,17.317654609680176,
5,0,16.75155544281006,
7,1,5.222179174423218,
7,1,16.812554597854614,
8,0,3.992485523223877,
8,0,13.637678146362305,
9,1,25.757984161376953,
11,1,10.75582218170166,
13,1,6.5171058177948,
14,1,7.41044545173645,
15,1,15.388970851898193,
16,0,9.332646369934082,
17,1,3.7416927814483643,
19,0,4.37380313873291,
20,0,4.261235952377319,
22,0,8.004029750823975,
23,0,7.37465763092041,
26,1,4.593225002288818,
27,0,19.0644793510437,
28,0,18.656291246414185,
29,1,4.645546913146973,
29,1,30.624491214752197,
30,0,14.272460222244263,
30,1,11.650005340576172,
31,1,18.76494026184082,
31,1,11.91777753829956,
32,1,5.283657550811768,
33,0,5.360408067703247,
